gender,int_corr,samerace,age_p,age_s,attrs,sincs,funs,intels,ambs,decision,attrp,sincp,intelp,funp,ambp,sharep,metp
0,0.14,0,27,21,6,8,8,8,7,1,6,9,7,7,6,5,2
0,0.54,0,22,21,6,8,8,8,7,1,7,8,7,8,5,6,1
0,0.29,1,27,24,7,5,10,8,3,0,5,7,8,4,6,3,2
0,0.18,1,22,24,7,5,10,8,3,0,8,5,6,6,9,6,2
0,-0.24,1,27,25,8,9,8,9,8,0,7,9,10,7,8,9,1
0,-0.14,1,22,25,8,9,8,9,8,0,9,7,9,8,9,7,2
0,-0.18,1,27,23,7,8,9,7,8,0,4,10,8,5,8,7,2
0,-0.18,1,22,23,7,8,9,7,8,0,8,7,8,10,7,8,1
0,-0.43,1,27,21,6,3,6,10,8,0,5,8,8,2,2,2,2
0,0,1,22,21,6,3,6,10,8,0,8,6,6,5,5,5,1
0,0.33,0,27,23,5,7,8,9,5,1,6,9,7,6,7,6,2
0,0.37,0,22,23,5,7,8,9,5,1,6,9,9,6,8,2,2
0,0.19,0,27,22,6,6,5,7,7,0,4,8,8,5,7,4,2
0,0.21,0,22,22,6,6,5,7,7,0,6,6,8,4,9,4,1
0,-0.03,1,27,25,7,4,8,8,8,1,5,8,7,4,7,5,2
0,-0.11,1,22,25,7,4,8,8,8,1,8,7,7,9,6,7,2
0,0.19,0,27,26,7,6,10,7,7,1,8,10,9,8,7,6,2
0,0.03,0,22,26,7,6,10,7,7,1,10,10,10,10,10,10,2
1,0.14,0,21,27,8,9,7,8,5,0,6,8,8,8,8,6,2
1,0.29,1,24,27,8,9,7,8,5,0,8,7,6,9,7,4,2
1,0.54,0,21,22,9,9,9,10,9,0,7,8,10,7,7,5,2
1,0.18,1,24,22,9,9,9,10,9,0,7,6,10,6,6,5,2
1,0.16,1,21,22,4,7,8,8,3,1,10,10,10,10,10,10,1
1,0.1,0,24,22,4,7,8,8,3,1,10,10,10,10,10,10,2
1,0.61,0,21,23,9,9,9,9,9,1,7,8,9,8,9,8,2
1,-0.21,1,24,23,9,9,9,9,9,1,9,9,9,9,9,9,2
1,0.21,0,21,24,7,7,7,9,9,1,8,7,9,6,9,7,2
1,0.32,0,24,24,7,7,7,9,9,1,10,10,10,10,7,8,1
1,0.25,0,21,25,6,6,8,8,6,1,7,7,8,8,7,7,2
1,0.73,1,24,25,6,6,8,8,6,1,7,8,7,5,7,7,2
1,0.34,0,21,30,7,7,6,8,4,0,3,6,7,5,8,7,2
1,0.6,1,24,30,7,7,6,8,4,0,5,3,4,3,5,3,2
1,0.5,0,21,27,6,8,6,8,9,0,6,7,5,6,8,6,2
1,0.07,1,24,27,6,8,6,8,9,1,7,7,7,7,7,5,2
1,0.28,0,21,28,10,6,10,10,10,1,7,7,8,8,8,9,2
1,0.11,1,24,28,10,6,10,10,10,1,8,6,9,9,8,7,2
1,-0.36,0,21,24,7,7,10,10,10,0,6,6,6,6,6,6,2
1,0.39,1,24,24,7,7,10,10,10,0,6,5,7,7,9,7,2
0,-0.23,1,25,21,5,9,7,9,10,0,6,8,7,9,5,7,1
0,-0.3,1,30,21,5,9,7,9,10,0,5,8,7,5,9,5,2
0,0.29,0,25,27,7,8,7,8,7,0,5,7,7,6,7,5,2
0,-0.23,0,30,27,7,8,7,8,7,0,4,7,6,6,7,2,2
